close,high,low,open,volume,baseVolume,datetime
9181.67,9184.38,9180.47,9183.87,50.08,459863.09,2020-07-02 11:34:00
9177.82,9183.77,9176.93,9181.67,29.28,268866.2,2020-07-02 11:35:00
9177.46,9178.34,9176.07,9177.82,33.99,311894.29,2020-07-02 11:36:00
9183.66,9184.43,9177.46,9177.46,32.24,295958.19,2020-07-02 11:37:00
9186.57,9187.54,9183.35,9183.66,26.63,244593.52,2020-07-02 11:38:00
9182.59,9186.57,9182.37,9186.57,20.28,186222.65,2020-07-02 11:39:00
9180.37,9182.59,9180.22,9182.59,9.792,89897.25,2020-07-02 11:40:00
9184.57,9184.77,9180.37,9180.37,20.12,184773.08,2020-07-02 11:41:00
9183.67,9184.95,9182.91,9184.57,10.79,99068.69,2020-07-02 11:42:00
9180.01,9184.57,9180.0,9183.67,22.87,210017.39,2020-07-02 11:43:00
9184.78,9184.94,9179.43,9180.01,15.12,138797.84,2020-07-02 11:44:00
9186.11,9187.14,9184.02,9184.78,35.65,327476.64,2020-07-02 11:45:00
9186.12,9187.5,9184.54,9186.11,10.67,98033.38,2020-07-02 11:46:00
9189.13,9189.68,9185.43,9186.12,12.64,116131.83,2020-07-02 11:47:00
9187.87,9189.74,9186.16,9189.13,22.71,208662.48,2020-07-02 11:48:00
9189.48,9189.93,9187.82,9187.87,16.13,148247.11,2020-07-02 11:49:00
9192.0,9192.0,9186.35,9189.48,21.89,201183.02,2020-07-02 11:50:00
9189.53,9192.0,9187.06,9192.0,14.11,129636.97,2020-07-02 11:51:00
9191.49,9192.46,9189.05,9189.53,39.32,361362.4,2020-07-02 11:52:00
9192.56,9195.29,9189.3,9191.49,25.22,231868.06,2020-07-02 11:53:00
9192.83,9193.76,9190.78,9192.56,7.997,73514.78,2020-07-02 11:54:00
9195.83,9195.83,9192.83,9192.83,9.381,86252.34,2020-07-02 11:55:00
9195.0,9196.54,9194.35,9195.83,29.89,274811.67,2020-07-02 11:56:00
9195.52,9196.25,9194.6,9195.0,6.978,64168.45,2020-07-02 11:57:00
9196.38,9196.38,9195.0,9195.52,5.177,47605.15,2020-07-02 11:58:00
9197.01,9197.8,9196.04,9196.38,8.909,81943.72,2020-07-02 11:59:00
9191.47,9197.23,9189.6,9197.01,35.69,328103.79,2020-07-02 12:00:00
9195.23,9195.85,9191.43,9191.47,24.95,229345.08,2020-07-02 12:01:00
9193.58,9197.0,9193.58,9195.23,11.85,108926.44,2020-07-02 12:02:00
9191.44,9193.9,9191.44,9193.58,15.62,143617.78,2020-07-02 12:03:00
9192.0,9193.27,9190.21,9191.44,26.37,242411.7,2020-07-02 12:04:00
9192.58,9193.29,9192.0,9192.0,6.083,55917.3,2020-07-02 12:05:00
9192.01,9193.39,9192.01,9192.58,21.08,193739.79,2020-07-02 12:06:00
9192.74,9192.74,9191.65,9192.01,10.04,92308.89,2020-07-02 12:07:00
9192.73,9192.99,9191.65,9192.74,9.079,83455.81,2020-07-02 12:08:00
9194.37,9194.68,9192.29,9192.73,20.5,188440.03,2020-07-02 12:09:00
9195.36,9197.15,9194.14,9194.37,24.58,226062.81,2020-07-02 12:10:00
9194.73,9195.75,9194.15,9195.36,11.46,105401.05,2020-07-02 12:11:00
9190.99,9194.84,9190.41,9194.73,38.92,357794.66,2020-07-02 12:12:00
9191.25,9191.98,9189.53,9190.99,11.53,105958.66,2020-07-02 12:13:00
9191.43,9192.61,9190.04,9191.25,18.56,170606.73,2020-07-02 12:14:00
9193.06,9193.54,9190.05,9191.43,25.12,230909.97,2020-07-02 12:15:00
9193.85,9194.14,9192.0,9193.06,4.851,44598.0,2020-07-02 12:16:00
9194.0,9194.0,9192.12,9193.85,5.566,51170.26,2020-07-02 12:17:00
9193.64,9195.04,9192.92,9194.0,16.3,149909.81,2020-07-02 12:18:00
9194.2,9194.83,9192.06,9193.64,10.02,92077.24,2020-07-02 12:19:00
9193.75,9194.59,9192.71,9194.2,11.65,107084.79,2020-07-02 12:20:00
