,Name,sma_pfast,sma_pslow,Return,MaxDrawDown,TotalTrades#,winTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
483,SMACross,19,24,0.1089,22.5195,67,25,42,0.3731,278.6982,-138.486,4,6,-2.0125,90.0,410.0,76.5,218.0,198.625
484,SMACross,19,25,0.1688,18.1882,57,25,31,0.4386,288.846,-166.908,4,6,-1.7306,42.0,492.0,5.0,107.0,161.5
485,SMACross,19,26,0.0622,24.9915,57,22,34,0.386,292.2682,-164.7419,4,6,-1.7741,170.0,359.0,48.5,117.0,173.625
486,SMACross,19,27,0.0504,26.8296,52,22,30,0.4231,276.3198,-185.3939,5,6,-1.4904,194.0,319.0,9.0,43.0,141.25
487,SMACross,19,28,-0.1779,38.5073,49,18,31,0.3673,282.4207,-216.5703,4,6,-1.3041,482.0,24.0,96.0,14.0,154.0
488,SMACross,19,29,-0.1469,38.0976,48,20,28,0.4167,264.3992,-237.6408,4,6,-1.1126,452.0,26.0,15.5,2.0,123.875
489,SMACross,19,30,-0.1317,35.5057,43,14,28,0.3256,362.0835,-223.7536,3,5,-1.6182,437.0,77.0,233.0,69.0,204.0
490,SMACross,19,31,-0.1631,37.3596,44,13,30,0.2955,384.7635,-215.6744,2,5,-1.784,466.0,41.0,389.5,120.0,254.125
491,SMACross,19,32,-0.1677,35.8369,41,11,29,0.2683,411.1006,-207.9076,2,5,-1.9773,471.0,69.0,486.5,202.0,307.125
492,SMACross,19,33,-0.1665,36.085,40,12,27,0.3,373.7791,-221.5907,2,8,-1.6868,468.0,63.0,366.0,92.0,247.25
493,SMACross,19,34,-0.169,37.3407,41,9,31,0.2195,500.4593,-194.2797,2,9,-2.576,473.0,42.0,535.0,465.0,378.75
494,SMACross,19,35,-0.1768,37.4109,44,9,34,0.2045,490.8428,-176.5363,2,9,-2.7804,481.0,38.0,536.0,504.0,389.75
495,SMACross,19,36,-0.1815,35.9928,41,10,30,0.2439,422.4148,-194.1851,2,7,-2.1753,486.0,66.0,517.0,300.0,342.25
496,SMACross,19,37,-0.193,38.0973,38,9,28,0.2368,463.1746,-209.5021,2,8,-2.2108,492.0,27.0,524.5,315.0,339.625
